SKU,Title,Description,Order Time,Quantity,Price,Shipping,Order ID
A41916,Nike Dunk Hi Hawaii (Size 10.5),,2024-05-09 19:26:04 -0700,1,129.99,9.99,4817
A41909,Jordan 1 Low Black Toe DS (Size 10),,2024-05-09 18:56:17 -0700,1,99.99,9.99,4816
A41867,Nike Air Skylon 2 FOG (Size 11),,2024-05-09 18:07:31 -0700,1,59.99,9.99,4815
A41580,jordan 12 playoff (Size 9.5),,2024-05-09 17:27:34 -0700,1,99.99,9.99,4814
A40637,Jordan 7 flint (Size 10),,2024-05-09 17:21:20 -0700,1,99.99,9.99,4813
A40080,Jordan 11 Low Irridecent (Size 8) °,,2024-05-09 16:59:15 -0700,1,89.99,9.99,4812
A40230,Vapormax Green (Size 13) °,,2024-05-09 16:10:50 -0700,1,59.99,9.99,4811
A41616,uptempo red (Size 11),,2024-05-09 15:49:08 -0700,1,69.99,9.99,4810
A40011,Balenciaga Track Neon Blue (Size 9),,2024-05-09 10:05:39 -0700,1,199.99,9.99,4809
A40055,Jordan 7 flint (Size 9),,2024-05-09 08:52:12 -0700,1,99.99,9.99,4808
A35933,J5 SBB (Size 9),,,1,99.99,,4808
A41417,Jordan 5 Fire red (Size 8) °,,2024-05-09 07:20:27 -0700,1,119.99,9.99,4807
A38017,Dunk Low Court Purple (Size 11),,2024-05-09 06:06:26 -0700,1,89.99,9.99,4806
A41468,Jordan 6 UNC (Size 9.5) °,,2024-05-09 05:46:27 -0700,1,69.99,9.99,4805
A36668,Foamposite Eggplant (Size 7) °,,2024-05-08 22:39:34 -0700,1,59.99,9.99,4804
A41488,Yeezy 350 cinder (Size 13.5) °,,2024-05-08 22:00:10 -0700,1,129.99,9.99,4803
A41369,Dunk low clear jade  (Size 10.5) °,,2024-05-08 19:47:17 -0700,1,79.99,9.99,4802
A37433,Jordan 1 Mid Artic DS (Size 10.5),,,1,99.99,,4802
A35779,Nike dunk high Syracuse  (Size 10.5),,,1,99.99,,4802
A40415,Dunk high panda DS (Size 10.5),,,1,99.99,,4802
A40678,Nike dunk low Halloween (Size 10),,2024-05-08 19:44:59 -0700,1,89.99,9.99,4801
A41065,jordan 1 bloodline (Size 11) °,,2024-05-08 17:54:11 -0700,1,89.99,9.99,4800
A38209,Jordan 1 Bleached Aqua (Size 13),,2024-05-08 16:35:43 -0700,1,89.99,9.99,4799
A37283,Foam Runner Stone Sage (Size 11),,2024-05-08 16:23:30 -0700,1,89.99,9.99,4798
A40538,Jordan 1 mid Uni Blue (Size 8.5) °,,2024-05-08 14:56:18 -0700,1,79.99,9.99,4797
A41487,Jordan 14 last shot (Size 11) °,,2024-05-08 14:48:08 -0700,1,99.99,9.99,4796
A35289,Jordan 11 Snakeskin bone (Size 8.5),,2024-05-08 14:16:35 -0700,1,99.99,9.99,4795
A37550,Jordan 9 UNC (Size 10.5) °,,2024-05-08 13:24:34 -0700,1,59.99,9.99,4794
A40200,Jordan 13 Island Green (Size 10.5),,2024-05-08 01:11:10 -0700,1,99.99,9.99,4793
A40165,Travis Reverse Mocha 1 (Size 11),,2024-05-07 20:01:07 -0700,1,899.99,9.99,4792
A41070,Animal 3s (Size 9.5) °,,2024-05-07 19:18:36 -0700,1,89.99,9.99,4791
A41493,Yzy 700 hospital blue (Size 9.5) °,,2024-05-07 16:17:16 -0700,1,129.99,9.99,4790
A41585,Yeezy af1 (Size 10.5) °,,2024-05-07 12:25:50 -0700,1,79.99,9.99,4789
A40598,Jordan 10 royal (Size 10),,2024-05-07 08:50:18 -0700,1,89.99,9.99,4788
A40263,Jordan 11 like 96 (Size 10),,,1,139.99,,4788
A40761,jordan 1 gold toe (Size 10),,,1,159.99,,4788
A40737,True blue 1s (Size 8) °,,2024-05-07 08:04:36 -0700,1,79.99,9.99,4787
A41587,Space jam crocs (Size 10) °,,2024-05-07 06:45:34 -0700,1,59.99,9.99,4786
A37782,Georgetown Dunk Low (Size 9.5),,,1,89.99,,4786
A41508,Off white Tera (Size 9) °,,2024-05-07 01:36:26 -0700,1,119.99,9.99,4785
A40756,Jordan 3 cool grey (Size 10),,2024-05-06 22:49:55 -0700,1,119.99,9.99,4784
A40657,Jordan 8 playoff (Size 13) °,,2024-05-06 21:30:58 -0700,1,89.99,9.99,4783
A40351,jordan 14 milliary blue (Size 12),,2024-05-06 20:58:58 -0700,1,99.99,9.99,4782
A40406,Jordan 11 concord (Size 11),,2024-05-06 20:38:55 -0700,1,169.99,9.99,4781
A40329,jordan 1 mid royal (Size 13),,2024-05-06 20:10:33 -0700,1,89.99,9.99,4780
A41229,jordan 8 aqua (Size 8.5) °,,2024-05-06 19:25:14 -0700,1,99.99,9.99,4779
A37768,Dunk Low Racer Blue (Size 9.5),,2024-05-06 18:56:51 -0700,1,69.99,9.99,4778
A37429,Jordan 1 low bred toe (Size 8),,2024-05-06 18:38:37 -0700,1,99.99,9.99,4777
A41482,Jordan 1 bio hack (Size 13) °,,2024-05-06 18:09:01 -0700,1,99.99,9.99,4776
A41264,Foam runner  (Size 10) °,,2024-05-06 17:42:52 -0700,1,79.99,9.99,4775
A40562,Jordan 6 carmine DS (Size 10.5),,2024-05-06 17:19:32 -0700,1,199.99,9.99,4774
A41510,Gone fishing Foamposite (Size 10) °,,,1,79.99,,4774
A40208,Jordan 3 unite (Size 9) °,,2024-05-06 17:12:25 -0700,1,69.99,9.99,4773
A40982,Jordan 5 jade horizon (Size 7.5),,2024-05-06 15:09:18 -0700,1,79.99,9.99,4772
A41479,Jordan 1 mid mint (Size 9) °,,2024-05-06 13:46:38 -0700,1,79.99,9.99,4771
A41445,2005 Nike AF1 RARE (Size 13) °,,2024-05-06 13:26:32 -0700,1,59.99,9.99,4770
A37957,Yeezy 350 Static (Size 6) °,,2024-05-06 12:48:16 -0700,1,79.99,9.99,4769
A41498,Jordan 1 royal toe (Size 12) °,,2024-05-06 12:38:01 -0700,1,119.99,9.99,4768
A40771,Kentucky dunk low (Size 8),,2024-05-06 11:32:16 -0700,1,109.99,9.99,4767
A40419,Jordan 6 Gatorade (Size 8),,,1,99.99,,4767
A41439,Jordan 12 Psy (Size 9) °,,2024-05-06 10:03:05 -0700,1,99.99,9.99,4766
A41525,Yeezy foamposite (Size 10) °,,2024-05-06 06:55:30 -0700,1,79.99,9.99,4765
A41451,Jordan 7 French blue (Size 9.5) °,,2024-05-06 06:38:44 -0700,1,79.99,9.99,4764
A40162,Jordan 3 Fire Red  (Size 9.5),,2024-05-06 05:10:10 -0700,1,149.99,9.99,4763
A41486,Jordan 3 UNC (Size 9.5) °,,,1,199.99,,4763
A41542,Jordan 8 Aqua (Size 9.5) °,,2024-05-06 05:09:47 -0700,1,79.99,9.99,4762
A41255,fire Red 5s (Size 13) °,,2024-05-06 04:08:59 -0700,1,89.99,9.99,4761
A36204,Jordan 11 concord (Size 13),,,1,219.99,,4761
A41551,Jordan 3 True Blue (Size 13) °,,,1,149.99,,4761
A41555,Jordan 11 concord (Size 13) °,,2024-05-06 00:00:39 -0700,1,169.99,9.99,4760
A41584,Jordan 6 chrome (Size 10) °,,2024-05-05 22:07:31 -0700,1,79.99,9.99,4759
A41548,Yeezy 500 bone (Size 12) °,,2024-05-05 21:34:00 -0700,1,79.99,9.99,4758
A38188,Jordan 3 True blue (Size 5) °,,2024-05-05 21:15:14 -0700,1,99.99,9.99,4757
A40309,jordan 12 taxi (Size 10.5),,,1,79.99,,4757
A40759,jordan 3 off noir (Size 10.5),,,1,99.99,,4757
A41578,Jordan 11 win like 86 (Size 11) °,,2024-05-05 21:04:55 -0700,1,119.99,9.99,4756
A40119,Jordan 5 grape (Size 5),,2024-05-05 20:58:14 -0700,1,69.99,9.99,4755
A41467,Crater SB dunk (Size 11) °,,2024-05-05 20:43:14 -0700,1,99.99,9.99,4754
A41553,Air Pippin (Size 11) °,,2024-05-05 20:40:06 -0700,1,59.99,9.99,4753
A41443,Jordan 6 CNY (Size 10) °,,2024-05-05 20:27:55 -0700,1,69.99,9.99,4752
A35631,Jordan 3 Georgetown (Size 10),,,1,89.99,,4752
A41404,jordan 3 elephant (Size 11) °,,2024-05-05 20:24:57 -0700,1,89.99,9.99,4751
A40775,Jordan 1 Tie dye (Size 9),,,1,99.99,,4751
A41480,Jordan 13 he got game (Size 10.5) °,,,1,79.99,,4751
A41449,Jordan 1 Pollen (Size 9.5) °,,,1,79.99,,4751
A41365,Jordan 11 Cherry (Size 4),,,1,69.99,,4751
A41109,Camo dunk (Size 12.5) °,,2024-05-05 20:12:27 -0700,1,79.99,9.99,4750
A41507,Jordan 1 bio hack (Size 11) °,,2024-05-05 19:41:43 -0700,1,99.99,9.99,4749
A40463,Jordan 5 Green Bean (Size 11),,,1,99.99,,4749
A41506,Hospital blue 700s (Size 11) °,,2024-05-05 19:32:56 -0700,1,139.99,9.99,4748
A41427,J11 closing ceremony (Size 10.5) °,,2024-05-05 19:02:32 -0700,1,89.99,9.99,4747
A40348,Jordan 11 Low Emerald (Size 10.5),,2024-05-05 17:48:01 -0700,1,89.99,9.99,4746
A41492,Dunk low panda (Size 9.5) °,,2024-05-05 17:39:09 -0700,1,69.99,9.99,4745
A41566,Balenciaga Speed Runner (Size 10) °,,2024-05-05 17:13:39 -0700,1,199.99,9.99,4744
A36457,Jordan 3 Unite (Size 8.5),,2024-05-05 16:49:02 -0700,1,149.99,9.99,4743
A41519,Jordan 5 Wolf Grey (Size 9) °,,2024-05-05 16:48:01 -0700,1,89.99,9.99,4742
A41581,Kobe KBB (Size 11) °,,2024-05-05 16:20:12 -0700,1,79.99,9.99,4741
A40465,Jordan 11 Low 72-10 (Size 11.5),,2024-05-05 15:58:36 -0700,1,119.99,9.99,4740
A41588,Jordan 3 Justin Timberlake (Size 13) °,,2024-05-05 15:57:43 -0700,1,139.99,9.99,4739
A41100,dunk low michigan State (Size 10) °,,2024-05-05 15:54:29 -0700,1,49.99,9.99,4738
A36978,Jordan 5 grape (Size 10.5),,2024-05-05 11:39:12 -0700,1,99.99,9.99,4737
A40158,Jordan 1 Mid University  (Size 9.5),,2024-05-04 23:45:01 -0700,1,89.99,9.99,4736
A40995,University blue 9s (Size 11.5) °,,2024-05-04 22:07:16 -0700,1,79.99,9.99,4735
A38037,Jordan 1 Low Powder Blue (Size 10.5),,2024-05-04 22:03:38 -0700,1,99.99,9.99,4734
A41089,Jordan 12 twist (Size 10),,2024-05-04 21:45:18 -0700,1,79.99,9.99,4733
A41113,Dunk low panda (Size 10),,,1,89.99,,4733
A40745,jordan 12 hyper royal (Size 9) °,,,1,79.99,,4733
A37752,Nike Reverse Panda (Size 10.5) °,,,1,69.99,,4733
A38112,Jordan 14 Yellow Thunder (Size 6) °,,2024-05-04 19:33:00 -0700,1,59.99,9.99,4732
A36574,Jordan 6 Carmine (Size 9.5),,2024-05-04 17:35:09 -0700,1,89.99,9.99,4731
A34493,Jordan 4 Columbia DS (Size 11),,2024-05-04 17:19:02 -0700,1,299.99,9.99,4730
A30987,Dunk Low UNLV (Size 12) °,,2024-05-04 15:19:34 -0700,1,79.99,9.99,4729
A40717,Jordan 13 hyper royal (Size 10),,2024-05-04 13:02:25 -0700,1,99.99,9.99,4728
A40353,jordan 10 bobcat (Size 10),,,1,89.99,,4728
A40287,Jordan 12 Grey (Size 5) °,,2024-05-04 12:49:06 -0700,1,59.99,9.99,4727
A40754,Dunk Low Panda DS (Size 10.5),,,1,99.99,,4727
A37942,Dunk low green (Size 9.5),,,1,89.99,,4727
A40397,Jordan 8 south beach (Size 12),,2024-05-04 12:26:06 -0700,1,99.99,9.99,4726
A40766,jordan 7 cardinal (Size 13) °,,,1,99.99,,4726
A37669,Jordan 14 Indigo (Size 12) °,,,1,79.99,,4726
A35061,Jordan 5 Oreo GS (Size 5.5),,2024-05-04 11:32:25 -0700,1,59.99,9.99,4725
A36533,Jordan 5 Black Grape  (Size 8.5),,2024-05-04 11:02:27 -0700,1,149.99,9.99,4724
A40903,Jordan 4 Lightning  (Size 10.5),,2024-05-04 10:27:08 -0700,1,169.99,9.99,4723
A41137,Laker 13s (Size 13),,2024-05-04 08:11:15 -0700,1,99.99,9.99,4722
A40566,Jordan 13 hyper royal (Size 13),,,1,99.99,,4722
A40616,jordan 12 gym red (Size 13) °,,,1,69.99,,4722
A37685,Nike Sacai Blazer Low DS (Size 11.5),,2024-05-04 08:04:01 -0700,1,69.99,9.99,4721
A40715,Jordan 11 72-10 (Size 8),,2024-05-04 07:22:13 -0700,1,89.99,9.99,4720
A40513,Jordan 1 mid Racer Blue (Size 8.5) °,,2024-05-04 07:06:41 -0700,1,79.99,9.99,4719
A37675,Jordan 8 White Aqua (Size 10.5) °,,2024-05-04 06:20:56 -0700,1,79.99,9.99,4718
A40522,jordan 14 clot (Size 10.5) °,,,1,79.99,,4718
B1117,Gucci leather embossed GG long wallet,,2024-05-03 19:57:47 -0700,1,149.99,9.99,4717
A40683,Nike SB dunk low ACG (Size 8),,2024-05-03 19:03:24 -0700,1,99.99,9.99,4716
A36364,J1 Low Barcelona (Size 10),,2024-05-03 19:02:58 -0700,1,89.99,9.99,4715
A40130,dunk high all star (Size 11),,2024-05-03 18:40:08 -0700,1,89.99,9.99,4714
B1116,MCM x Craig Redman leather long wallet,,2024-05-03 18:01:46 -0700,1,129.99,9.99,4713
B1090,Fendi canvas FF logo long wallet,,,1,119.99,,4713
B1109,Gucci beige monogram 'heart' long wallet,,,1,119.99,,4713
A40470,jordan 13 grey toe (Size 8),,2024-05-03 17:49:45 -0700,1,99.99,9.99,4712
A40468,Jordan 3 Fire Red (Size 8),,,1,139.99,,4712
A40194,Jordan 12 Playoff DS (Size 8),,,1,179.99,,4712
A36527,Yeezy 350 Earth (Size 11.5),,2024-05-03 17:46:32 -0700,1,149.99,9.99,4711
A30950,jordan 4 fire red (Size 9.5),,2024-05-03 17:40:50 -0700,1,199.99,9.99,4710
B1091,Louis Vuitton brown monogram trifold wallet,,2024-05-03 15:31:29 -0700,1,109.99,9.99,4709
A40477,Jordan 1 Space Jam (Size 7.5),,2024-05-03 15:12:33 -0700,1,79.99,9.99,4708
A40957,Turquoise Vapormax (Size 9) °,,2024-05-03 15:05:54 -0700,1,59.99,9.99,4707
A40116,Af1 Low PR (Size 11.5) °,,2024-05-03 14:15:05 -0700,1,49.99,9.99,4706
A37092,Foam Runner (Size 10),,2024-05-03 07:31:51 -0700,1,79.99,9.99,4705
A40693,Gone Fishing Dunk Low SE DS (Size 9.5),,2024-05-03 03:06:24 -0700,1,109.99,9.99,4704
A40357,jordan 6 carmine (Size 9),,2024-05-03 02:14:56 -0700,1,119.99,9.99,4703
A40924,dunk low valentines day (Size 10.5) °,,,1,79.99,,4703
B1096,Gucci canvas beige GG logo bifold wallet,,2024-05-03 02:06:25 -0700,1,149.99,9.99,4702
A40950,Yeezy foam plat (Size 9.5) °,,2024-05-02 18:46:10 -0700,1,79.99,9.99,4701
A40623,jordan 1 cement (Size 8),,2024-05-02 18:38:29 -0700,1,99.99,9.99,4700
A40053,Yzy quantum (Size 11.5),,2024-05-02 18:09:23 -0700,1,79.99,9.99,4699
A40520,Versace Chain Reaction Multicolor (Size 11) °,,2024-05-02 17:33:43 -0700,1,199.99,9.99,4698
A40731,Red Oreo 6s (Size 11) °,,2024-05-02 16:56:48 -0700,1,99.99,9.99,4697
A41126,Dunk Low Michigan (Size 9.5),,2024-05-02 16:55:32 -0700,1,99.99,9.99,4696
A40438,Jordan 3 racer blue (Size 9.5),,,1,149.99,,4696
A37036,Jordan 4 uni blue (Size 7.5),,2024-05-02 15:54:27 -0700,1,199.99,9.99,4695
A37241,J1 marina (Size 15) °,,2024-05-02 15:53:49 -0700,1,79.99,9.99,4694
A40178,Jordan 1 Shadow (Size 8.5),,2024-05-02 15:15:22 -0700,1,139.99,9.99,4693
A37557,dunk low court purple (Size 9.5),,2024-05-02 14:52:37 -0700,1,79.99,9.99,4692
A40975,Jordan 4 infrared (Size 12),,2024-05-02 11:56:23 -0700,1,199.99,9.99,4691
A37870,Sacai Black Blazer Low (Size 7),,2024-05-02 11:05:34 -0700,1,49.99,9.99,4690
A41122,Lebron 9s (Size 11),,2024-05-02 10:51:23 -0700,1,69.99,9.99,4689
A37636,jordan 1 low shadow craft (Size 10),,2024-05-02 09:17:48 -0700,1,79.99,9.99,4688
A40765,jordan 13 flint (Size 11),,2024-05-02 08:14:21 -0700,1,99.99,9.99,4687
A40659,Jordan 12 playoffs (Size 11),,,1,99.99,,4687
A40550,Jordan 1 flyease DS (Size 10.5),,2024-05-02 08:14:02 -0700,1,79.99,9.99,4686
A41123,sunset dunk low (Size 4.5) °,,2024-05-02 04:12:20 -0700,1,59.99,9.99,4685
A40479,Jordan 11 lE cherry (Size 8.5),,,1,69.99,,4685
A40254,Dunk Low Halloween (Size 5),,,1,59.99,,4685
A40934,Bordex 7s (Size 7),,2024-05-02 01:52:41 -0700,1,59.99,9.99,4684
A40696,jordan 3 wolf grey (Size 7) °,,,1,59.99,,4684
A40258,Balenciaga Track 2 Green White (Size 9) °,,2024-05-01 22:59:37 -0700,1,249.99,9.99,4683
A40425,Air max yellow (Size 10) °,,2024-05-01 22:55:38 -0700,1,59.99,9.99,4682
A40235,Balenciaga Track Runner Black (Size 7),,2024-05-01 18:23:15 -0700,1,259.99,9.99,4681
A40139,Jordan 11 UNC (Size 9.5) °,,2024-05-01 18:07:48 -0700,1,79.99,9.99,4680
A40389,Jordan 12 low Easter (Size 9),,2024-05-01 17:59:21 -0700,1,99.99,9.99,4679
A40416,Jordan 11 legend blue (Size 10.5),,2024-05-01 16:38:58 -0700,1,149.99,9.99,4678
A40316,Jordan 6 DMP (Size 11.5),,2024-05-01 16:37:03 -0700,1,109.99,9.99,4677
A40321,jordan 5 stealth (Size 9.5),,2024-05-01 16:32:41 -0700,1,99.99,9.99,4676
A40580,Jordan 13 lakers (Size 9.5),,,1,99.99,,4676
A37264,Jordan 1 Royal Toe (Size 12),,2024-05-01 16:24:25 -0700,1,129.99,9.99,4675
A37867,Jordan 1 Bloodline (Size 9.5) °,,2024-05-01 16:22:38 -0700,1,69.99,9.99,4674
A40983,dunk low panda (Size 9),,2024-05-01 16:17:59 -0700,1,79.99,9.99,4673
A40943,Supreme af1 (Size 9.5) °,,2024-05-01 15:22:47 -0700,1,79.99,9.99,4672
A40774,Racer blue 5s (Size 8.5),,2024-05-01 15:21:31 -0700,1,79.99,9.99,4671
A40534,Nike AirMax Multi Camo (Size 10.5) °,,2024-05-01 14:50:25 -0700,1,49.99,9.99,4670
A40760,jordan 1 low court purple (Size 12) °,,2024-05-01 14:43:45 -0700,1,89.99,9.99,4669
A40191,Jordan 2 Chicago DS (Size 8.5),,2024-05-01 14:29:16 -0700,1,99.99,9.99,4668
A40705,jordan 5 what the (Size 12) °,,2024-05-01 13:46:00 -0700,1,99.99,9.99,4667
